FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
45001,Abbeville,South Carolina,US,7/27/2020 4:35,34.22333378,-82.46170658,270,4,0,266,"Abbeville, South Carolina, US",1100.827659,1.481481481
22001,Acadia,Louisiana,US,7/27/2020 4:35,30.2950649,-92.41419698,2173,62,0,2111,"Acadia, Louisiana, US",3502.29672,2.853198343
51001,Accomack,Virginia,US,7/27/2020 4:35,37.76707161,-75.63234615,1063,15,0,1048,"Accomack, Virginia, US",3289.392252,1.411100659
16001,Ada,Idaho,US,7/27/2020 4:35,43.4526575,-116.2415516,7092,45,0,7047,"Ada, Idaho, US",1472.631113,0.634517766
19001,Adair,Iowa,US,7/27/2020 4:35,41.33075609,-94.47105874,20,0,0,20,"Adair, Iowa, US",279.6420582,0
21001,Adair,Kentucky,US,7/27/2020 4:35,37.10459774,-85.28129668,183,19,0,164,"Adair, Kentucky, US",953.0257265,10.38251366
29001,Adair,Missouri,US,7/27/2020 4:35,40.19058551,-92.60078167,119,0,0,119,"Adair, Missouri, US",469.5576688,0
40001,Adair,Oklahoma,US,7/27/2020 4:35,35.88494195,-94.65859267,241,5,0,236,"Adair, Oklahoma, US",1085.879066,2.074688797
8001,Adams,Colorado,US,7/27/2020 4:35,39.87432092,-104.3362578,5587,167,0,5420,"Adams, Colorado, US",1079.778362,2.989081797
16003,Adams,Idaho,US,7/27/2020 4:35,44.89333571,-116.4545247,16,0,0,16,"Adams, Idaho, US",372.6129483,0
17001,Adams,Illinois,US,7/27/2020 4:35,39.98815591,-91.18786813,336,1,0,335,"Adams, Illinois, US",513.4866662,0.297619048
18001,Adams,Indiana,US,7/27/2020 4:35,40.7457653,-84.93671406,70,1,0,69,"Adams, Indiana, US",195.6564273,1.428571429
19003,Adams,Iowa,US,7/27/2020 4:35,41.02903567,-94.69932645,13,0,0,13,"Adams, Iowa, US",360.9106052,0
28001,Adams,Mississippi,US,7/27/2020 4:35,31.47669768,-91.35326037,511,22,0,489,"Adams, Mississippi, US",1664.874727,4.305283757
31001,Adams,Nebraska,US,7/27/2020 4:35,40.5244942,-98.50117804,326,11,0,315,"Adams, Nebraska, US",1039.44138,3.374233129
