TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN AGE OF THE TOTAL POPULATION,,,,
R0101,01000US,United States,1,38.5,+/-0.1
R0101,01001US,United States -- Urban,1,37.4,+/-0.1
R0101,01043US,United States -- Rural,1,43.6,+/-0.2
R0101,01089US,United States -- American Indian Reservation and Trust Land -- Federal,1,35.9,+/-0.6
R0101,01091US,United States -- Oklahoma Tribal Statistical Area,1,38.2,+/-0.3
R0101,01093US,United States -- Alaska Native Village Statistical Area,1,35.4,+/-0.5
R0101,01094US,United States -- State Designated Tribal Statistical Area,1,36.4,+/-0.4
R0101,010A0US,United States -- In metropolitan or micropolitan statistical area,1,38.2,+/-0.1
R0101,010C0US,United States -- In metropolitan statistical area,1,38.0,+/-0.1
R0101,010C1US,United States -- In metropolitan statistical area -- in principal city,1,35.4,+/-0.2
R0101,010C2US,United States -- In metropolitan statistical area -- not in principal city,1,39.8,+/-0.1
R0101,010E0US,United States -- In micropolitan statistical area,1,40.4,+/-0.1
R0101,010E1US,United States -- In micropolitan statistical area -- in principal city,1,36.0,+/-0.3
R0101,010E2US,United States -- In micropolitan statistical area -- not in principal city,1,42.8,+/-0.2
R0101,010G0US,United States -- Not in metropolitan or micropolitan statistical area,1,43.6,+/-0.1
R0101,04000US01,Alabama,1,39.4,+/-0.3
R0101,04000US02,Alaska,1,35.0,+/-0.3
R0101,04000US04,Arizona,1,38.3,+/-0.2
R0101,04000US05,Arkansas,1,38.8,+/-0.2
R0101,04000US06,California,1,37.0,+/-0.1
R0101,04000US08,Colorado,1,37.1,+/-0.1
R0101,04000US09,Connecticut,1,41.2,+/-0.2
R0101,04000US10,Delaware,1,41.4,+/-0.3
R0101,04000US11,District of Columbia,1,34.3,+/-0.2
R0101,04000US12,Florida,1,42.4,+/-0.1
R0101,04000US13,Georgia,1,37.2,+/-0.1
R0101,04000US15,Hawaii,1,39.6,+/-0.3
R0101,04000US16,Idaho,1,36.9,+/-0.2
R0101,04000US17,Illinois,1,38.6,+/-0.1
R0101,04000US18,Indiana,1,38.0,+/-0.2
R0101,04000US19,Iowa,1,38.5,+/-0.2
R0101,04000US20,Kansas,1,37.2,+/-0.2
R0101,04000US21,Kentucky,1,39.2,+/-0.2
R0101,04000US22,Louisiana,1,37.7,+/-0.2
R0101,04000US23,Maine,1,45.1,+/-0.1
R0101,04000US24,Maryland,1,39.0,+/-0.2
R0101,04000US25,Massachusetts,1,39.7,+/-0.2
R0101,04000US26,Michigan,1,39.8,+/-0.2
R0101,04000US27,Minnesota,1,38.4,+/-0.2
R0101,04000US28,Mississippi,1,38.3,+/-0.3
R0101,04000US29,Missouri,1,38.9,+/-0.1
R0101,04000US30,Montana,1,40.5,+/-0.3
R0101,04000US31,Nebraska,1,36.8,+/-0.2
R0101,04000US32,Nevada,1,38.4,+/-0.2
R0101,04000US33,New Hampshire,1,43.0,+/-0.3
R0101,04000US34,New Jersey,1,40.2,+/-0.1
R0101,04000US35,New Mexico,1,38.6,+/-0.2
R0101,04000US36,New York,1,39.2,+/-0.2
R0101,04000US37,North Carolina,1,39.1,+/-0.2
R0101,04000US38,North Dakota,1,35.5,+/-0.3
R0101,04000US39,Ohio,1,39.6,+/-0.1
R0101,04000US40,Oklahoma,1,37.0,+/-0.2
R0101,04000US41,Oregon,1,39.7,+/-0.2
R0101,04000US42,Pennsylvania,1,40.8,+/-0.1
R0101,04000US44,Rhode Island,1,40.1,+/-0.4
R0101,04000US45,South Carolina,1,39.9,+/-0.2
R0101,04000US46,South Dakota,1,37.7,+/-0.3
R0101,04000US47,Tennessee,1,39.0,+/-0.2
R0101,04000US48,Texas,1,35.1,+/-0.1
