,2015,2016,2017,2018
Alabama,"189,339,144","190,703,043","193,023,933","198,435,935"
Autauga,"1,518,409","1,526,310","1,422,078","1,483,414"
Baldwin,"5,345,363","5,496,105","5,525,882","5,774,289"
Barbour,"756,590","742,810","745,625","787,425"
Bibb,"358,372","357,831","353,859","364,197"
Blount,"824,934","783,480","813,934","849,114"
Bullock,"224,849","246,072","233,531","244,183"
Butler,"570,113","554,471","554,848","570,686"
Calhoun,"3,810,823","3,862,408","3,861,148","3,950,436"
Chambers,"1,793,988","1,953,597","1,938,158","1,941,217"
Cherokee,"484,118","457,675","461,223","498,013"
Chilton,"799,902","798,726","806,179","837,887"
Choctaw,"531,136","526,604","505,034","547,773"
Clarke,"806,072","793,755","771,341","784,519"
Clay,"320,213","315,873","323,580","339,246"
Cleburne,"304,126","295,526","284,999","294,019"
Coffee,"1,349,456","1,375,548","1,410,365","1,470,262"
Colbert,"2,814,138","2,778,239","2,708,633","2,755,838"
Conecuh,"466,177","464,317","456,696","449,646"
Coosa,"164,838","168,598","167,226","177,103"
Covington,"1,126,948","1,120,631","1,134,066","1,146,899"
Crenshaw,"427,983","403,588","403,510","408,219"
Cullman,"2,479,048","2,473,561","2,491,025","2,548,547"
Dale,"2,405,727","2,423,899","2,459,148","2,505,314"
Dallas,"1,186,330","1,196,803","1,156,152","1,174,931"
DeKalb,"1,728,455","1,621,227","1,688,189","1,768,414"
Elmore,"1,614,849","1,639,742","1,653,310","1,694,188"
Escambia,"1,152,718","1,162,771","1,163,160","1,172,006"
Etowah,"2,741,934","2,742,949","2,746,645","2,803,470"
Fayette,"334,480","325,660","327,225","331,837"
Franklin,"829,741","802,754","849,068","886,031"
Geneva,"505,054","513,876","496,140","519,624"
Greene,"255,456","245,437","225,323","235,854"
Hale,"280,598","291,003","285,818","280,041"
Henry,"312,287","308,340","320,602","327,713"
Houston,"4,190,752","4,221,379","4,238,912","4,349,489"
Jackson,"1,420,121","1,317,412","1,300,797","1,319,359"
Jefferson,"39,503,092","39,475,772","40,567,288","41,774,355"
Lamar,"291,779","288,955","289,482","296,054"
Lauderdale,"2,445,200","2,402,567","2,395,624","2,467,086"
Lawrence,"556,342","518,065","517,319","563,208"
Lee,"5,457,975","5,702,179","5,897,678","6,013,577"
Limestone,"3,149,394","3,223,504","3,286,233","3,288,507"
Lowndes,"414,680","410,956","415,054","413,334"
Macon,"437,082","437,693","427,667","437,305"
Madison,"19,888,881","20,314,558","20,825,274","21,707,550"
Marengo,"673,931","678,430","650,660","657,507"
Marion,"779,032","759,279","773,143","804,250"
Marshall,"2,830,730","2,864,795","2,943,251","3,061,736"
Mobile,"17,548,197","17,901,624","17,642,633","17,882,906"
Monroe,"611,360","610,770","610,310","618,262"
Montgomery,"12,294,898","12,473,078","12,457,671","12,633,330"
Morgan,"4,665,658","4,808,714","4,827,146","4,980,085"
Perry,"203,560","198,292","191,859","183,432"
Pickens,"407,990","399,004","389,315","390,766"
Pike,"1,305,018","1,327,688","1,315,469","1,309,102"
Randolph,"438,364","415,983","418,763","427,804"
Russell,"1,417,799","1,437,492","1,427,776","1,472,862"
St. Clair,"1,666,235","1,694,102","1,718,514","1,764,952"
Shelby,"9,434,367","9,427,502","9,929,586","10,317,323"
Sumter,"353,400","359,431","335,668","326,706"
